nom,prenom,age,totalbut,poste,equipe
Guilbert,Frédéric ,24 déc. 1994(23),9,Arrière droit                            ,SM Caen
Alhadhur,Chaker ,4 déc. 1991(26),Journée,Arrière gauche                            ,SM Caen
Imorou,Emmanuel ,16 sept. 1988(30),5,Arrière gauche                            ,SM Caen
Armougom,Yoël ,5 juin 1998(20),6,Arrière gauche                            ,SM Caen
Mbengue,Adama ,1 déc. 1993(24),5,Arrière gauche                            ,SM Caen
Marega,Issa ,20 avr. 1998(20),-,Défenseur central                            ,SM Caen
Genevois,Romain ,28 oct. 1987(30),4,Défenseur central                            ,SM Caen
Baysse,Paul ,18 mai 1988(30),9,Défenseur central                            ,SM Caen
Djiku,Alexander ,9 août 1994(24),8,Défenseur central                            ,SM Caen
Callens,Thomas ,6 sept. 1998(20),Journée,Gardien de but                            ,SM Caen
Reulet,Paul ,14 janv. 1994(24),Journée,Gardien de but                            ,SM Caen
Zelazny,Erwin ,22 sept. 1991(27),-,Gardien de but                            ,SM Caen
Samba,Brice ,25 avr. 1994(24),10,Gardien de but                            ,SM Caen
Skuletic,Petar ,29 juin 1990(28),6,Avant centre                            ,HSC Montpellier
Jeannot,Benjamin ,22 janv. 1992(26),6,Avant centre                            ,FCO Dijon
Tavarès,Julio ,19 nov. 1988(29),8,Avant centre                            ,FCO Dijon
Saïd,Wesley ,19 avr. 1995(23),8,Avant centre                            ,FCO Dijon
Kwon,Chang-hun ,30 juin 1994(24),Journée,Ailier droit                            ,FCO Dijon
Keita,Jules ,20 juil. 1998(20),10,,FCO Dijon
Sliti,Naïm ,27 juil. 1992(26),10,Ailier gauche                            ,FCO Dijon
Sammaritano,Frédéric ,23 mars 1986(32),4,Milieu offensif                            ,FCO Dijon
Gourcuff,Yoann ,11 juil. 1986(32),8,Milieu offensif                            ,FCO Dijon
Balmont,Florent ,2 févr. 1980(38),1,Milieu central                            ,FCO Dijon
Abeid,Mehdi ,6 août 1992(26),9,Milieu central                            ,FCO Dijon
